"ids","labels","parents","values"
"Leroy Sané","Sané","MCI",0
"Riyad Mahrez","Mahrez","MCI",46
"Bernardo Mota Veiga de Carvalho e Silva","Bernardo Silva","MCI",46
"David Silva","David Silva","MCI",61
"Phil Foden","Foden","MCI",4
"Fernando Luiz Rosa","Fernandinho","MCI",12
"Ilkay Gündogan","Gündogan","MCI",21
"José Ángel Esmorís Tasende","Angeliño","MCI",7
"Rodrigo Hernandez","Rodrigo","MCI",25
"João Pedro Cavaco Cancelo","Cancelo","MCI",17
"Eric Garcia","Garcia","MCI",1
"Aaron Wan-Bissaka","Wan-Bissaka","MUN",23
"Harry Maguire","Maguire","MUN",27
"Chris Smalling","Smalling","MUN",0
"Ashley Young","Young","MUN",15
"Victor Lindelöf","Lindelöf","MUN",26
"Luke Shaw","Shaw","MUN",9
"Marcos Rojo","Rojo","MUN",2
"Eric Bailly","Bailly","MUN",0
"José Diogo Dalot Teixeira","Dalot","MUN",1
"Matteo Darmian","Darmian","MUN",0
"Phil Jones","Jones","MUN",0
"Romelu Lukaku","Lukaku","MUN",0
"Marcus Rashford","Rashford","MUN",58
"Mason Greenwood","Greenwood","MUN",8
"David de Gea","de Gea","MUN",40
"Sergio Romero","Romero","MUN",0
"Lee Grant","Grant","MUN",0
"Paul Pogba","Pogba","MUN",15
"Anthony Martial","Martial","MUN",28
"Alexis Sánchez","Sánchez","MUN",0
"Jesse Lingard","Lingard","MUN",10
"Juan Mata","Mata","MUN",12
"Daniel James","James","MUN",43
"Frederico Rodrigues de Paula Santos","Fred","MUN",9
"Angel Gomes","Gomes","MUN",1
"Andreas Pereira","Pereira","MUN",24
"Nemanja Matic","Matic","MUN",6
"Scott McTominay","McTominay","MUN",42
"Tahith Chong","Chong","MUN",2
"James Garner","Garner","MUN",1
"Axel Tuanzebe","Tuanzebe","MUN",5
"Brandon Williams","Williams","MUN",2
"Matt Ritchie","Ritchie","NEW",8
"Fabian Schär","Schär","NEW",32
"DeAndre Yedlin","Yedlin","NEW",11
"Federico Fernández","Fernández","NEW",17
"Paul Dummett","Dummett","NEW",17
"Javier Manquillo","Manquillo","NEW",10
"Florian Lejeune","Lejeune","NEW",0
"Jamaal Lascelles","Lascelles","NEW",37
"Ciaran Clark","Clark","NEW",15
"Yoshinori Muto","Muto","NEW",5
"Jose Luis Mato Sanmartín","Joselu","NEW",0
